,Fullpathname,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
38,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/UdMath.java,UdMath,98,0,11,0,0,FALSE,FALSE,2,FALSE,FALSE,4,12,0,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
39,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/astroarts/Xyz.java,Xyz,79,1,5,0,0,FALSE,FALSE,1,FALSE,FALSE,0,4,1,0,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
40,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/Bag.java,Bag,74,4,4,0,4,FALSE,FALSE,1,FALSE,FALSE,0,0,5,3,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
41,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/Barrel.java,Barrel,73,4,4,0,4,FALSE,FALSE,1,FALSE,FALSE,0,0,5,2,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
42,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/BuildingKit.java,BuildingKit,186,9,14,0,9,FALSE,FALSE,2,FALSE,FALSE,5,3,11,12,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Information Holder
43,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/Container.java,Container,29,0,0,0,0,FALSE,FALSE,1,TRUE,FALSE,0,0,1,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,public,0,0,0,FALSE,Service Provider
44,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/ContainerUtil.java,ContainerUtil,171,1,7,0,7,FALSE,FALSE,2,FALSE,FALSE,8,7,3,13,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
45,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/EVASuit.java,EVASuit,507,19,17,0,12,FALSE,FALSE,4,FALSE,FALSE,24,3,19,50,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Interfacer
46,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/Equipment.java,Equipment,363,9,20,1,10,FALSE,FALSE,1,FALSE,FALSE,24,4,21,26,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,TRUE,Structurer
47,mars-sim-v3.1.0/mars-sim-core/org/mars_sim/msp/core/equipment/EquipmentFactory.java,EquipmentFactory,167,2,7,0,4,FALSE,FALSE,2,FALSE,FALSE,6,12,4,4,0,TRUE,FALSE,FALSE,TRUE,FALSE,public,0,0,0,FALSE,Service Provider
